     14.130815	     50.180916	    328.50
     14.137365	     50.178806	    279.89
     14.128336	     50.178558	    300.60
     14.112722	     50.178394	    347.93
     14.130023	     50.178211	    294.41
     14.134793	     50.177753	    287.39
     14.126961	     50.177155	    310.24
     14.120803	     50.176926	    319.55
     14.113242	     50.176826	    347.59
     14.103867	     50.176350	    349.57
     14.123692	     50.175961	    331.24
     14.111374	     50.175594	    349.03
     14.122296	     50.175678	    340.38
     14.124057	     50.175152	    325.97
     14.112925	     50.175022	    351.50
     14.127420	     50.175045	    306.96
     14.113301	     50.173634	    354.22
     14.126607	     50.173553	    300.95
     14.111770	     50.173126	    353.50
     14.117441	     50.173168	    344.92
     14.102111	     50.172916	    353.54
     14.117514	     50.173035	    342.61
     14.100018	     50.172497	    355.98
     14.105974	     50.172272	    353.08
     14.128461	     50.171722	    312.94
     14.120550	     50.171619	    310.67
     14.096399	     50.171345	    356.48
     14.097595	     50.171040	    356.63
     14.108452	     50.170807	    333.17
     14.113570	     50.170441	    318.43
     14.102302	     50.170219	    353.56
     14.104405	     50.170055	    344.48
     14.138988	     50.170319	    354.58
     14.162581	     50.170490	    323.02
     14.127930	     50.170101	    355.48
     14.168954	     50.170403	    318.90
     14.103080	     50.169823	    348.55
     14.106930	     50.169849	    326.38
     14.174276	     50.170303	    305.99
     14.145928	     50.169830	    350.32
     14.116809	     50.169476	    305.50
     14.114575	     50.169102	    309.64
     14.141952	     50.169079	    356.54
     14.120391	     50.168873	    337.24
     14.166874	     50.169216	    311.96
     14.170029	     50.168968	    305.83
     14.154208	     50.168812	    343.73
     14.096247	     50.168285	    358.45
     14.098277	     50.168301	    355.95
     14.106957	     50.168366	    318.83
     14.111857	     50.168404	    308.99
     14.147281	     50.168625	    354.06
     14.130620	     50.168457	    359.79
     14.165623	     50.168713	    309.38
     14.094641	     50.168045	    357.47
     14.158625	     50.168529	    333.96
     14.126635	     50.168156	    360.99
     14.095631	     50.167561	    346.13
     14.150446	     50.167793	    350.47
     14.144637	     50.167660	    355.75
     14.129588	     50.167461	    360.97
     14.145481	     50.167442	    355.24
     14.107122	     50.167019	    319.54
     14.165505	     50.167454	    300.54
     14.174396	     50.167473	    288.32
